#
# context: https://medium.com/@nusenu/towards-cleaning-up-rpki-invalids-d69b03ab8a8c
#
# columns in that order:
#-------------------------
# source (trust anchor name)
# ASN according to ROA
# prefix according to ROA
# maxLength according to ROA (not all ROAs have that field)
# INVALID reason (length or ASN mismatch)
# announcing AS
# prefix
APNIC RPKI Root,AS55862,49.128.160.0/20,20,INVALID_LENGTH,AS55862,49.128.164.0/24
APNIC RPKI Root,AS55862,49.128.160.0/20,20,INVALID_LENGTH,AS55862,49.128.165.0/24
APNIC RPKI Root,AS55862,49.128.160.0/20,20,INVALID_LENGTH,AS55862,49.128.166.0/24
APNIC RPKI Root,AS55862,49.128.160.0/20,20,INVALID_LENGTH,AS55862,49.128.167.0/24
APNIC RPKI Root,AS55862,49.128.160.0/20,20,INVALID_LENGTH,AS55862,49.128.168.0/24
APNIC RPKI Root,AS55862,49.128.160.0/20,20,INVALID_LENGTH,AS55862,49.128.169.0/24
APNIC RPKI Root,AS55862,49.128.160.0/20,20,INVALID_LENGTH,AS55862,49.128.170.0/24
APNIC RPKI Root,AS55862,49.128.160.0/20,20,INVALID_LENGTH,AS55862,49.128.171.0/24
APNIC RPKI Root,AS55862,49.128.160.0/20,20,INVALID_LENGTH,AS55862,49.128.172.0/24
APNIC RPKI Root,AS55862,49.128.160.0/20,20,INVALID_LENGTH,AS55862,49.128.173.0/24
APNIC RPKI Root,AS55862,49.128.160.0/20,20,INVALID_LENGTH,AS55862,49.128.174.0/24
APNIC RPKI Root,AS55862,49.128.160.0/20,20,INVALID_LENGTH,AS55862,49.128.175.0/24
APNIC RPKI Root,AS45774,49.213.32.0/19,19,INVALID_LENGTH,AS45774,49.213.32.0/24
APNIC RPKI Root,AS45774,49.213.32.0/19,19,INVALID_LENGTH,AS45774,49.213.33.0/24
APNIC RPKI Root,AS45774,49.213.32.0/19,19,INVALID_LENGTH,AS45774,49.213.34.0/24
APNIC RPKI Root,AS45774,49.213.32.0/19,19,INVALID_LENGTH,AS45774,49.213.35.0/24
APNIC RPKI Root,AS45774,49.213.32.0/19,19,INVALID_LENGTH,AS45774,49.213.36.0/24
